Especialidad	Patología	Genes	Metodología
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	CAV3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	PRKAG2	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	VCL	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	VCL	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA FAMILIAR	TTN	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA HIPERTRÓFICA	AARS2, ABCC6, ABCC9, ACAD9, ACADVL, ACTA1, ACTC1, ACTN2, AGK, AGL, AGPAT2, AKT1, ALMS1, ANK2, ANKRD1, ANO5, APOA1, ATP5F1E, ATPAF2, BAG3, BRAF, BSCL2, CACNA1C, CALR, CALR3, CASQ2, CAV3, CAVIN4, CBL, CDH2, CHRM2, COA5, COA6, COL7A1, COQ2, COX15, COX6B1, CRYAB, CSRP3, CTF1, DES, DLD, DMD, DNAJC19, DNM1L, DOLK, DPM3, DSC2, DSG2, DSP, DTNA, DYSF, EEF1A2, ELAC2, EMD, EPG5, ETFA, ETFB, ETFDH, EYA4, FAH, FHL1, FHL2, FHOD3, FKRP, FKTN, FLNC, FLT1, FOXD4, FOXRED1, FXN, GAA, GATA4, GATA5, GATA6, GATAD1, GBE1, GFM1, GLA, GLB1, GNPTAB, GSK3B, GUSB, GYG1, HAMP, HAND1, HCN4, HFE, HRAS, IDH2, ILK, ISL1, JARID2, JPH2, JUP, KCND3, KCNJ2, KCNJ8, KLF10, KRAS, LAMA2, LAMA4, LAMP2, LDB3, LIAS, LMNA, LZTR1, MAP2K1, MAP2K2, MEF2C, MIB1, MLYCD, MRPL3, MRPL44, MRPS22, MTO1, MYBPC3, MYH6, MYH7, MYL2, MYL3, MYLK2, MYOM1, MYOT, MYOZ2, MYPN, NEBL, NEXN, NF1, NKX2-5, NRAS, OBSCN, OPA3, PCCA, PCCB, PDHA1, PDLIM3, PHKA1, PKD2, PKP2, PLN, PMM2, PRDM16, PRKAG2, PSEN1, PSEN2, PTPN11, RAB3GAP2, RAF1, RANGRF, RBCK1, RBM20, RIT1, RMND1, RYR2, SCN5A, SCO2, SDHA, SGCA, SGCB, SGCD, SGCG, SHOC2, SLC22A5, SLC25A3, SLC25A4, SLC40A1, SOS1, SOS2, SPEG, SURF1, SYNE1, SYNE2, TAB2, TAZ, TBX20, TBX5, TCAP, TFR2, TMEM43, TMEM70, TMPO, TNNC1, TNNI3, TNNI3K, TNNT2, TOR1AIP1, TPM1, TRIM63, TSFM, TTN, TTR, TXNRD2, VCL, VPS13A, XK, ZBTB17	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 197 genes
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA	ABCC9, ACTC1, ACTN2, AKT1, AMPD1, ANKRD1, BAG3, CDH2, CSRP3, CTNNA3, DES, DMD, DMPK, DNAJC19, DSC2, DSG2, DSP, DTNA, EMD, FHL1, FHOD3, FLNC, GLA, HCN4, JARID2, JPH2, JUP, KCNH2, KCNQ1, KRAS, LAMP2, LDB3, LMNA, LMX1B, MIB1, MLYCD, MYBPC3, MYH6, MYH7, MYL2, MYL3, MYPN, NEXN, NKX2-5, NNT, NOTCH1, PKP2, PLN, PMP22, PRDM16, PTPN11, RAF1, RBM20, RYR2, SCN5A, SGCD, SPEG, TAZ, TBX20, TCAP, TNNC1, TNNI3, TNNT2, TPM1, TRPM4, TTN, VCL, WT1, YWHAE	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 69 genes
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	TAZ (G4.5) (X-linked)	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	DTNA	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	DTNA	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	LDB3 (ZASP)	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	MYH7	Secuenciación por NGS
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	MYH7	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	MYBPC3	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA NO COMPACTADA (VENTRÍCULO IZQUIERDO NO COMPACTADO)	LMNA	Secuenciación Sanger
Enfermedades Cardiovasculares	MIOCARDIOPATÍA RESTRICTIVA	ABCC9, ACTC1, ACTN2, ALMS1, BAG3, CRYAB, DES, FHL1, FHOD3, FLNC, GLA, HFE, LMNA, MYBPC3, MYH7, MYL2, MYL3, MYPN, TNNC1, TNNI3, TNNT2, TPM1, TTN, TTR	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 24 genes
Enfermedades Cardiovasculares	MIXOMA CARDÍACO	PRKAR1A	Secuenciación Sanger
Enfermedades Cardiovasculares	MUERTE SÚBITA CARDÍACA/ FIBRILACIÓN VENTRICULAR IDIOPÁTICA	AARS2, ABCA1, ABCC6, ABCC9, ACAD9, ACADVL, ACTA1, ACTA2, ACTB, ACTC1, ACTG1, ACTN2, ACVR2B, ACVRL1, ADAMTS2, AEBP1, AGK, AGL, AGPAT2, AKAP9, ALG1, ALG10, ALG10B, ALMS1, ANGPTL3, ANK2, ANKRD1, ANO5, APOA1, APOA2, APOA5, APOB, APOC2, APOC3, APOE, ATP5F1E, ATP7A, ATPAF2, B4GALT7, BAG3, BBS10, BCOR, BGN, BMPR2, BRAF, C1R, C1S, CACNA1C, CACNA1D, CACNA2D1, CACNB2, CALM1, CALM2, CALM3, CALR3, CAPN3, CASQ2, CAV1, CAV3, CAVIN1, CAVIN4, CBL, CBS, CCDC103, CCDC39, CCDC40, CCM2, CDH2, CETP, CFAP298, CHD7, CHRM2, CHST14, COA5 ... Listado completo de genes en ANEXO 3	PANEL POR EXOMA CLÍNICO (Sec. ) - 394 genes
Enfermedades Cardiovasculares	PSEUDOXANTOMA ELÁSTICO	ABCC6, ENPP1, GGCX	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 3 genes
Enfermedades Cardiovasculares	RASOPATÍAS (INCLUYE SÍNDROME DE NOONAN)	ACTB, ACTG1, BMP2, BRAF, CABIN1, CBL, CDC42, EPHB4, FGD1, HRAS, KAT6B, KRAS, LZTR1, MAP2K1, MAP2K2, MAP3K8, MAPK1, NF1, NF2, NRAS, NSUN2, PTPN11, RAF1, RASA1, RASA2, RIT1, RRAS, RRAS2, SASH1, SHOC2, SMARCB1, SOS1, SOS2, SPRED1, SPRED2, STAMBP, SYNGAP1	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 37 genes
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA	ABCC9, ANK2, ANK3, CACNA1C, CACNA1D, CACNA2D1, CACNB2, GPD1L, HCN4, KCND2, KCND3, KCNE3, KCNE5, KCNH2, KCNJ8, PKP2, RANGRF, SCN10A, SCN1B, SCN2B, SCN3B, SCN4B, SCN5A, SEMA3A, SLMAP, TRPM4	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 26 genes
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 1	SCN5A	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 1	SCN5A	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 2	GPD1L	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 3	CACNA1C	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 3	CACNA1C	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 4	CACNB2	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 5	SCN1B	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 6	KCNE3	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 7	SCN3B	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA TIPO 8	HCN4	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE BRUGADA	SCN5A	Análisis MLPA
Enfermedades Cardiovasculares	SÍNDROME DE EHLERS-DANLOS	ABCC6, ACTA2, ADAMTS2, ADAMTSL2, AEBP1, ALDH18A1, ATP6V0A2, ATP7A, B3GALT6, B3GAT3, B4GALT7, BGN, C1R, C1S, CBS, CHST14, CHST3, COL11A1, COL12A1, COL1A1, COL1A2, COL2A1, COL3A1, COL5A1, COL5A2, COL6A2, COL6A3, CRTAP, DSE, EFEMP2, ELN, FBLN5, FBN1, FBN2, FKBP14, FLNA, FLNB, GGCX, GORAB, LOX, LTBP4, LZTS1, P3H1, PLOD1, PLP1, PRDM5, PYCR1, RIN2, ROBO3, SKI, SLC2A10, SLC39A13, SMAD2, SMAD3, TGFB2, TGFB3, TGFBR1, TGFBR2, TNFRSF1A, TNXB, ZNF469	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 61 genes
Enfermedades Cardiovasculares	SÍNDROME DE HOLT-ORAM	TBX5	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE HOLT-ORAM	TBX5	Análisis MLPA
Enfermedades Cardiovasculares	SÍNDROME DE IVEMARK	GDF1	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE LOEYS-DIETZ-	FBN1, SMAD2, SMAD3, TGFB2, TGFB3, TGFBR1, TGFBR2	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 7 genes
Enfermedades Cardiovasculares	SÍNDROME DE MARFAN, ANEURISMA AÓRTICO TORÁCICO Y TRASTORNOS RELACIONADOS	ABL1, ACTA2, ADAMTS10, ADAMTS17, ADAMTS2, ADAMTSL4, ALDH18A1, ATP6V0A2, ATP7A, B3GALT6, B4GALT7, BGN, BMP1, C1R, C1S, CBS, CHST14, COL11A1, COL11A2, COL1A1, COL1A2, COL2A1, COL3A1, COL5A1, COL5A2, COL6A1, COL6A3, COL9A1, COL9A2, COL9A3, CRTAP, EFEMP2, ELN, FBLN5, FBN1, FBN2, FKBP10, FKBP14, FLNA, FOXE3, GORAB, KIF22, LOX, LTBP4, MED12, MSTN, MYH11, MYLK, NOTCH1, P3H1, PLOD1, PLOD2, PLOD3, PPIB, PRDM5, PYCR1, RIN2, SERPINH1, SKI, SLC2A10, SLC39A13, SMAD2, SMAD3, SMAD4, SMAD6, SMS, SP7, TAB2, TGFB2, TGFB3, TGFBR1, TGFBR2, TNXB, UPF3B, VCAN, ZDHHC9, ZNF469	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 77 genes
Enfermedades Cardiovasculares	SÍNDROME DE QT-CORTO	CACNA1C, CACNA1D, CACNA2D1, CACNB2, KCNH2, KCNJ2, KCNQ1, SLC22A5	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 8 genes
Enfermedades Cardiovasculares	SÍNDROME DE QT-CORTO	KCNH2 (HERG)	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-CORTO	KCNQ1 (KVLQT1)	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE QT-CORTO	KCNQ1 (KVLQT1)	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-CORTO	KCNJ2	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT LARGO	AKAP9, ANK2, CACNA1C, CALM1, CALM2, CALM3, CAV3, CAVIN1, FHL2, HCN4, KCNA5, KCND2, KCND3, KCNE1, KCNE2, KCNE3, KCNE5, KCNH2, KCNJ2, KCNJ5, KCNQ1, NOS1AP, RYR2, SCN1B, SCN3B, SCN4B, SCN5A, SLC12A3, SLC22A5, SNTA1, TRDN, TRPM4	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 32 genes
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	KCNQ1 (KVLQT1)	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	KCNQ1 (KVLQT1)	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	KCNH2 (HERG)	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	SCN5A	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	SCN5A	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	KCNE1	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ROMANO-WARD) 	KCNE2	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ANDERSEN-TAWIL) 	KCNJ2	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA DOMINANTE (SÍNDROME DE ANDERSEN-TAWIL) 	KCNJ5	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA RECESIVA (SÍNDROME DE JERVELL AND LANGE-NIELSEN) 	KCNQ1 (KVLQT1)	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA RECESIVA (SÍNDROME DE JERVELL AND LANGE-NIELSEN) 	KCNQ1 (KVLQT1)	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE QT-LARGO DE HERENCIA RECESIVA (SÍNDROME DE JERVELL AND LANGE-NIELSEN) 	KCNE1	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE WILLIAMS-BEUREN (ESTENOSIS SUPRAVALVULAR AÓRTICA)	ELN, LIMK1	Análisis MLPA
Enfermedades Cardiovasculares	SÍNDROME DE WILLIAMS-BEUREN (ESTENOSIS SUPRAVALVULAR AÓRTICA)	ELN	Secuenciación por NGS
Enfermedades Cardiovasculares	SÍNDROME DE WILLIAMS-BEUREN (ESTENOSIS SUPRAVALVULAR AÓRTICA)	ELN	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DE WOLFF-PARKINSON-WHITE	PRKAG2	Secuenciación Sanger
Enfermedades Cardiovasculares	SÍNDROME DEL CORAZÓN IZQUIERDO HIPOPLÁSICO	GJA1	Secuenciación Sanger
Enfermedades Cardiovasculares	TAQUICARDIA VENTRICULAR POLIMÓRFICA CATECOLAMINÉRGICA	ANK2, CALM1, CALM2, CALM3, CASQ2, GNAI2, KCNJ2, KCNQ1, LMNA, RYR2, SCN5A, TRDN	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 13 genes
Enfermedades Cardiovasculares	TAQUICARDIA VENTRICULAR POLIMÓRFICA CATECOLAMINÉRGICA	RYR2	Secuenciación por NGS
Enfermedades Cardiovasculares	TAQUICARDIA VENTRICULAR POLIMÓRFICA CATECOLAMINÉRGICA	RYR2	Secuenciación Sanger
Enfermedades Cardiovasculares	TAQUICARDIA VENTRICULAR POLIMÓRFICA CATECOLAMINÉRGICA	CASQ2	Secuenciación Sanger
Enfermedades Cardiovasculares	TRANSPOSICIÓN NO CORREGIDA CONGÉNITAMENTE DE LAS GRANDES ARTERIAS	CFC1, GFD1, ZIC3, MED13L	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 4 genes
Enfermedades Cardiovasculares	TRANSPOSICIÓN NO CORREGIDA CONGÉNITAMENTE DE LAS GRANDES ARTERIAS	CFC1	Secuenciación Sanger
Enfermedades Cardiovasculares	TRANSPOSICIÓN NO CORREGIDA CONGÉNITAMENTE DE LAS GRANDES ARTERIAS	GDF1	Secuenciación Sanger
Enfermedades Cardiovasculares	TRANSPOSICIÓN NO CORREGIDA CONGÉNITAMENTE DE LAS GRANDES ARTERIAS	ZIC3	Secuenciación Sanger
Enfermedades Cardiovasculares	TRANSPOSICIÓN NO CORREGIDA CONGÉNITAMENTE DE LAS GRANDES ARTERIAS	MED13L	Secuenciación por NGS
Enfermedades Cardiovasculares	TRANSPOSICIÓN NO CORREGIDA CONGÉNITAMENTE DE LAS GRANDES ARTERIAS	MED13L	Secuenciación Sanger
Enfermedades Cardiovasculares	TRASTORNOS DE LA CONDUCCIÓN CARDÍACA	DES, EMD, HCN4, LAMP2, LMNA, NKX2-5, PRKAG2, SCN5A, TBX5, ACTC1, CACNA1D, GAA, GJA5, GLA, GNB2, KCNJ2, MYH6, SCN1B, SLC22A5, TNNI3K, TRPM4, TTR, CALR, CAVIN4, DSC2, DSG2, DSP, GATA4, HFE, IRX3, JUP, KCNE2, KCNH2, KCNK17, KCNQ1, LDB3, MYBPHL, MYH7, NPPA, PITX2, PKP2, RYR2, SCN4B, SLMAP	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 41 genes
Enfermedades Cardiovasculares	VÁLVULA AÓRTICA BICÚSPIDE FAMILIAR	GATA5, NKX2-5, NOTCH1, SMAD6	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 4 genes
Enfermedades Cardiovasculares	VÁLVULA AÓRTICA BICÚSPIDE FAMILIAR	NOTCH1	Secuenciación por NGS
Enfermedades Cardiovasculares	VÁLVULA AÓRTICA BICÚSPIDE FAMILIAR	NOTCH1	Secuenciación Sanger
Enfermedades Cardiovasculares	VÁLVULA AÓRTICA BICÚSPIDE FAMILIAR	SMAD6	Secuenciación Sanger
Enfermedades Cardiovasculares	VÁLVULA AÓRTICA BICÚSPIDE FAMILIAR	GATA5	Secuenciación Sanger
Enfermedades Cardiovasculares	VÁLVULA AÓRTICA BICÚSPIDE FAMILIAR	NKX2-5	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	DEFICIENCIA DEL ANTAGONISTA DEL RECEPTOR DE INTERLEUQUINA 1	IL1RN	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	FIEBRE MEDITERRÁNEA FAMILIAR	MEFV	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	FIEBRE MEDITERRÁNEA FAMILIAR	MEFV	Análisis MLPA
Enfermedades Autoinflamatorias Sistémicas	FIEBRE PERIÓDICA	CARD14, ELANE, IL10RA, IL10RB, LPIN2, MEFV, MVK, NLRC4, NLRP12, NLRP3, NLRP7, NOD2, PSMB8, PSTPIP1, TNFAIP3, TNFRSF11A, TNFRSF1A	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 17 genes
Enfermedades Autoinflamatorias Sistémicas	SINDROMES AUTOINFLAMATORIOS	ACP5, ADA, ADA2, ADAM17, ADAR, AICDA, ANGPT1, AP1S3, AP3B1, ASAH1, BLOC1S6, BTK, CARD14, CD27, CD3G, CD40LG, CDC42, COL7A1, CTLA4, CYBA, CYBB, DCLRE1C, DDX58, DKC1, DNASE1L3, DNASE2, DOCK8, ELANE, FOXP3, G6PC3, HAX1, HTR1A, ICOS, IFIH1, IL10, IL10RA, IL10RB, IL1RN, IL21, IL2RA, IL2RG, IL36RN, ISG15, ITGB2, ITK, JAK1, LIG4, LPIN2, LRBA, LYST, MEFV, MVK, NCF2, NCF4, NCSTN, NFAT5, NLRC4, NLRP1, NLRP12, NLRP3, NLRP7, NOD2, OAS1, PIK3CD, PIK3R1, PLCG2, POLA1, POMP, PRF1, PRG4, PRKCD, PSENEN, PSMB8, PSMB9, PSTPIP1, RAB27A, RAG1, RAG2, RBCK1, RNASEH2A, RNASEH2B, RNASEH2C, RTEL1, SAMHD1, SH2D1A, SH3BP2, SLC29A3, SLC37A4, SLC7A7, SOCS1, STAT1, STAT2, STAT3, STIM1, STX11, STXBP2, TBX21, TMEM173, TNFAIP3, TNFRSF11A, TNFRSF1A, TRAP1, TREX1, TRIM22, TRNT1, TTC7A, UBA1, UNC13D, USP1, WAS, XIAP, ZAP70	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 112 genes
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME AUTOINFLAMATORIO INDUCIDO POR FRÍO (URTICARIA FAMILIAR POR FRÍO) - CAPS	NLRP3 (CIAS1)	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME AUTOINFLAMATORIO INDUCIDO POR FRÍO (URTICARIA FAMILIAR POR FRÍO) - CAPS	NLRP12	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME AUTOINFLAMATORIO INDUCIDO POR FRÍO (URTICARIA FAMILIAR POR FRÍO) - CAPS	PLCG2	Secuenciación por NGS
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME AUTOINFLAMATORIO INDUCIDO POR FRÍO (URTICARIA FAMILIAR POR FRÍO) - CAPS	PLCG2	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME AUTOINFLAMATORIO INDUCIDO POR FRÍO (URTICARIA FAMILIAR POR FRÍO) - CAPS	NLRC4	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME DE FIEBRE PERIÓDICA ASOCIADA A TNF-ALFA (SÍNDROME TRAPS)	TNFRSF1A	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME PFAPA (FIEBRE PERIÓDICA, AFTAS, FARINGITIS Y ADENOPATÍA CERVICAL)	MEFV	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME PFAPA (FIEBRE PERIÓDICA, AFTAS, FARINGITIS Y ADENOPATÍA CERVICAL)	MVK	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME PFAPA (FIEBRE PERIÓDICA, AFTAS, FARINGITIS Y ADENOPATÍA CERVICAL)	NLRP3 (CIAS1)	Secuenciación Sanger
Enfermedades Autoinflamatorias Sistémicas	SÍNDROME PAPA (ARTRITIS PIÓGENA ESTÉRIL, PIODERMA GANGRENOSO Y ACNÉ)	PSTPIP1	Secuenciación Sanger
